SPAN	CHARACTER	START OFFSET	END OFFSET	CHAPTER #	PASSAGE #
you	Mrs. Bennet	2830	2833	1	24
him	Mr. Bingley	2844	2847	1	24
whichever	NON-CHARACTER	2885	2894	1	24
he	Mr. Bingley	2895	2897	1	24
girls	Lydia	2913	2918	1	24
girls	Mary	2913	2918	1	24
girls	Jane	2913	2918	1	24
girls	Elizabeth	2913	2918	1	24
girls	Kitty	2913	2918	1	24
I	Mr. Bennet	2927	2928	1	24
Lizzy	Elizabeth	2969	2974	1	24
I	Mrs. Bennet	2979	2980	1	24
you	Mr. Bennet	2988	2991	1	24
Lizzy	Elizabeth	3015	3020	1	24
others	Lydia	3050	3056	1	24
others	Mary	3050	3056	1	24
others	Jane	3050	3056	1	24
others	Kitty	3050	3056	1	24
I	Mrs. Bennet	3062	3063	1	24
she	Elizabeth	3072	3075	1	24
Jane	Jane	3103	3107	1	24
Lydia	Lydia	3138	3143	1	24
you	Mr. Bennet	3149	3152	1	24
her	Elizabeth	3171	3174	1	24
They	Mary	3194	3198	1	24
They	Kitty	3194	3198	1	24
They	Jane	3194	3198	1	24
They	Lydia	3194	3198	1	24
them	Mary	3212	3216	1	24
them	Kitty	3212	3216	1	24
them	Jane	3212	3216	1	24
them	Lydia	3212	3216	1	24
them	Mary	3235	3239	1	24
them	Kitty	3235	3239	1	24
them	Jane	3235	3239	1	24
them	Lydia	3235	3239	1	24
he	Mr. Bennet	3250	3252	1	24
they	Mary	3255	3259	1	24
they	Kitty	3255	3259	1	24
they	Jane	3255	3259	1	24
they	Lydia	3255	3259	1	24
girls	NON-CHARACTER	3298	3303	1	24
Lizzy	Elizabeth	3309	3314	1	24
sisters	Mary	3356	3363	1	24
sisters	Kitty	3356	3363	1	24
sisters	Jane	3356	3363	1	24
sisters	Lydia	3356	3363	1	24
Mr. Bennet	Mr. Bennet	3368	3378	1	24
you	Mr. Bennet	3388	3391	1	24
children	Mary	3407	3415	1	24
children	Kitty	3407	3415	1	24
children	Jane	3407	3415	1	24
children	Lydia	3407	3415	1	24
You	Mr. Bennet	3431	3434	1	24
me	Mrs. Bennet	3458	3460	1	24
You	Mr. Bennet	3462	3465	1	24
You	Mrs. Bennet	3508	3511	1	24
me	Mr. Bennet	3520	3522	1	24
dear	Mrs. Bennet	3527	3531	1	24
I	Mr. Bennet	3533	3534	1	24
I	Mr. Bennet	3597	3598	1	24
you	Mrs. Bennet	3610	3613	1	24
you	Mr. Bennet	3687	3690	1	24
I	Mrs. Bennet	3708	3709	1	24
I	Mr. Bennet	3725	3726	1	24
you	Mrs. Bennet	3732	3735	1	24
men	NON-CHARACTER	3781	3784	1	24
us	Mrs. Bennet	3862	3864	1	24
us	Mr. Bennet	3862	3864	1	24
such	NON-CHARACTER	3876	3880	1	24
you	Mr. Bennet	3900	3903	1	24
them	NON-CHARACTER	3919	3923	1	24
dear	Mrs. Bennet	3947	3951	1	24
I	Mr. Bennet	3981	3982	1	24
them	NON-CHARACTER	3994	3998	1	24
Mr. Bennet	Mr. Bennet	4006	4016	1	33
wife	Mrs. Bennet	4174	4178	1	33
She	Mrs. Bennet	4245	4248	1	33
woman	Mrs. Bennet	4255	4260	1	33
she	Mrs. Bennet	4331	4334	1	33
she	Mrs. Bennet	4353	4356	1	33
herself	Mrs. Bennet	4365	4372	1	33
daughters	Lydia	4422	4431	1	33
daughters	Mary	4422	4431	1	33
daughters	Jane	4422	4431	1	33
daughters	Elizabeth	4422	4431	1	33
daughters	Kitty	4422	4431	1	33
Mr. Bennet	Mr. Bennet	4476	4486	2	0
those	Mr. Bennet	4513	4518	2	0
those	???	4513	4518	2	0
those	OTHER	4513	4518	2	0
who	Mr. Bennet	4519	4522	2	0
who	???	4519	4522	2	0
who	OTHER	4519	4522	2	0
Mr. Bingley	Mr. Bingley	4533	4544	2	0
He	Mr. Bennet	4546	4548	2	0
him	Mr. Bingley	4578	4581	2	0
wife	Mrs. Bennet	4622	4626	2	0
he	Mr. Bennet	4632	4634	2	0
she	Mrs. Bennet	4696	4699	2	0
daughter	Elizabeth	4792	4800	2	0
he	Mr. Bennet	4829	4831	2	0
her	Elizabeth	4851	4854	2	0
I	Mr. Bennet	4863	4864	2	0
Mr. Bingley	Mr. Bingley	4870	4881	2	0
Lizzy	Elizabeth	4896	4901	2	0
We	Mrs. Bennet	4906	4908	2	0
We	Elizabeth	4906	4908	2	0
We	Mr. Bennet	4906	4908	2	0
We	Lydia	4906	4908	2	0
We	Mary	4906	4908	2	0
We	Jane	4906	4908	2	0
We	Kitty	4906	4908	2	0
Mr. Bingley	Mr. Bingley	4939	4950	2	0
mother	Mrs. Bennet	4968	4974	2	0
we	Elizabeth	4995	4997	2	0
we	Mr. Bennet	4995	4997	2	0
we	Lydia	4995	4997	2	0
we	Mary	4995	4997	2	0
we	Jane	4995	4997	2	0
we	Kitty	4995	4997	2	0
we	Mrs. Bennet	4995	4997	2	0
you	Mrs. Bennet	5023	5026	2	0
mamma	Mrs. Bennet	5035	5040	2	0
Elizabeth	Elizabeth	5048	5057	2	0
we	Mr. Bennet	5065	5067	2	0
we	Lydia	5065	5067	2	0
we	Mary	5065	5067	2	0
we	Jane	5065	5067	2	0
we	Kitty	5065	5067	2	0
we	Mrs. Bennet	5065	5067	2	0
we	Elizabeth	5065	5067	2	0
him	Mr. Bingley	5079	5082	2	0
Mrs. Long	Mrs. Long	5111	5120	2	0
him	Mr. Bingley	5143	5146	2	0
I	Mrs. Bennet	5151	5152	2	0
Mrs. Long	Mrs. Long	5168	5177	2	0
She	Mrs. Long	5202	5205	2	0
nieces	nieces	5214	5220	2	0
She	Mrs. Long	5233	5236	2	0
woman	Mrs. Long	5264	5269	2	0
I	Mrs. Bennet	5275	5276	2	0
her	Mrs. Long	5296	5299	2	0
I	Mr. Bennet	5317	5318	2	0
Mr. Bennet	Mr. Bennet	5326	5336	2	0
I	Mr. Bennet	5343	5344	2	0
you	Mrs. Bennet	5366	5369	2	0
her	Mrs. Long	5387	5390	2	0
you	Mrs. Bennet	5399	5402	2	0
Mrs. Bennet	Mrs. Bennet	5406	5417	2	0
herself	Mrs. Bennet	5472	5479	2	0
one	Kitty	5496	5499	2	0
daughters	Lydia	5507	5516	2	0
daughters	Mary	5507	5516	2	0
daughters	Jane	5507	5516	2	0
daughters	Elizabeth	5507	5516	2	0
daughters	Kitty	5507	5516	2	0
Kitty	Kitty	5544	5549	2	0
You	Kitty	5609	5612	2	0
Kitty	Kitty	5637	5642	2	0
father	Mr. Bennet	5686	5692	2	0
she	Kitty	5695	5698	2	0
I	Kitty	5718	5719	2	0
Kitty	Kitty	5764	5769	2	0
Lizzy	Elizabeth	5812	5817	2	0
mother	Mrs. Bennet	5872	5878	2	0
Mrs. Long	Mrs. Long	5885	5894	2	0
her	Mrs. Long	5964	5967	2	0
him	Mr. Bingley	5981	5984	2	0
she	Mrs. Long	5990	5993	2	0
him	Mr. Bingley	6008	6011	2	0
herself	Mrs. Long	6012	6019	2	0
dear	Mrs. Bennet	6033	6037	2	12
you	Mrs. Bennet	6039	6042	2	12
friend	Mrs. Long	6074	6080	2	12
Mr. Bingley	Mr. Bingley	6096	6107	2	12
her	Mrs. Long	6111	6114	2	12
Mr. Bennet	Mr. Bennet	6131	6141	2	12
I	Mrs. Bennet	6160	6161	2	12
him	Mr. Bingley	6185	6188	2	12
myself	Mrs. Bennet	6189	6195	2	12
you	Mr. Bennet	6205	6208	2	12
I	Mr. Bennet	6227	6228	2	12
One	NON-CHARACTER	6310	6313	2	12
man	NON-CHARACTER	6333	6336	2	12
we	Mrs. Bennet	6381	6383	2	12
we	Mr. Bennet	6381	6383	2	12
we	Jane	6381	6383	2	12
we	Elizabeth	6381	6383	2	12
we	Lydia	6381	6383	2	12
we	Mary	6381	6383	2	12
we	Kitty	6381	6383	2	12
somebody	NON-CHARACTER	6399	6407	2	12
Mrs. Long	Mrs. Long	6434	6443	2	12
neices	nieces	6452	6458	2	12
she	Mrs. Long	6503	6506	2	12
you	Mrs. Bennet	6544	6547	2	12
I	Mr. Bennet	6568	6569	2	12
myself	Mr. Bennet	6586	6592	2	12
girls	Jane	6600	6605	2	12
girls	Elizabeth	6600	6605	2	12
girls	Lydia	6600	6605	2	12
girls	Mary	6600	6605	2	12
girls	Kitty	6600	6605	2	12
father	Mr. Bennet	6622	6628	2	12
Mrs. Bennet	Mrs. Bennet	6630	6641	2	12
he	Mr. Bennet	6738	6740	2	12
you	Mrs. Bennet	6746	6749	2	12
I	Mr. Bennet	6836	6837	2	12
you	Mrs. Bennet	6862	6865	2	12
you	Mary	6882	6885	2	12
Mary	Mary	6887	6891	2	12
you	Mary	6897	6900	2	12
lady	Mary	6913	6917	2	12
I	Mr. Bennet	6938	6939	2	12
Mary	Mary	6988	6992	2	12
Mary	Mary	7053	7057	2	12
he	Mr. Bennet	7083	7085	2	12
us	Mrs. Bennet	7102	7104	2	12
us	Mr. Bennet	7102	7104	2	12
"Mr.
Bingley"	Mr. Bingley	7115	7126	2	12
I	Mrs. Bennet	7131	7132	2	12
Mr. Bingley	Mr. Bingley	7144	7155	2	12
wife	Mrs. Bennet	7168	7172	2	12
I	Mr. Bennet	7176	7177	2	12
you	Mrs. Bennet	7217	7220	2	12
me	Mr. Bennet	7226	7228	2	12
I	Mr. Bennet	7245	7246	2	12
I	Mr. Bennet	7278	7279	2	12
him	Mr. Bingley	7315	7318	2	12
I	Mr. Bennet	7347	7348	2	12
we	Mrs. Bennet	7379	7381	2	12
we	Mr. Bennet	7379	7381	2	12
we	Jane	7379	7381	2	12
we	Elizabeth	7379	7381	2	12
we	Lydia	7379	7381	2	12
we	Kitty	7379	7381	2	12
we	Mary	7379	7381	2	12
ladies	Lydia	7444	7450	2	21
ladies	Mary	7444	7450	2	21
ladies	Kitty	7444	7450	2	21
ladies	Elizabeth	7444	7450	2	21
ladies	Jane	7444	7450	2	21
ladies	Mrs. Bennet	7444	7450	2	21
he	Mr. Bennet	7465	7467	2	21
"Mrs.
Bennet"	Mrs. Bennet	7484	7495	2	21
she	Mrs. Bennet	7572	7575	2	21
she	Mrs. Bennet	7610	7613	2	21
you	Mr. Bennet	7663	7666	2	21
Mr. Bennet	Mr. Bennet	7676	7686	2	21
I	Mrs. Bennet	7692	7693	2	21
I	Mrs. Bennet	7699	7700	2	21
you	Mr. Bennet	7717	7720	2	21
I	Mrs. Bennet	7730	7731	2	21
you	Mr. Bennet	7741	7744	2	21
girls	Lydia	7756	7761	2	21
girls	Mary	7756	7761	2	21
girls	Kitty	7756	7761	2	21
girls	Elizabeth	7756	7761	2	21
girls	Jane	7756	7761	2	21
I	Mrs. Bennet	7822	7823	2	21
you	Mr. Bennet	7866	7869	2	21
Kitty	Kitty	7949	7954	2	21
you	Kitty	7956	7959	2	21
you	Kitty	7981	7984	2	21
Mr. Bennet	Mr. Bennet	7999	8009	2	21
he	Mr. Bennet	8019	8021	2	21
he	Mr. Bennet	8029	8031	2	21
wife	Mrs. Bennet	8081	8085	2	21
father	Mr. Bennet	8107	8113	2	21
you	Lydia	8114	8117	2	21
you	Mary	8114	8117	2	21
you	Elizabeth	8114	8117	2	21
you	Jane	8114	8117	2	21
you	Kitty	8114	8117	2	21
girls	Lydia	8124	8129	2	21
girls	Mary	8124	8129	2	21
girls	Elizabeth	8124	8129	2	21
girls	Jane	8124	8129	2	21
girls	Kitty	8124	8129	2	21
she	Mrs. Bennet	8137	8140	2	21
I	Mrs. Bennet	8167	8168	2	21
you	Lydia	8185	8188	2	21
you	Mary	8185	8188	2	21
you	Elizabeth	8185	8188	2	21
you	Jane	8185	8188	2	21
you	Kitty	8185	8188	2	21
him	Mr. Bennet	8204	8207	2	21
me	Mrs. Bennet	8236	8238	2	21
I	Mrs. Bennet	8308	8309	2	21
you	Lydia	8319	8322	2	21
you	Mary	8319	8322	2	21
you	Elizabeth	8319	8322	2	21
you	Jane	8319	8322	2	21
you	Kitty	8319	8322	2	21
acquaintances	NON-CHARACTER	8341	8354	2	21
we	Mr. Bennet	8386	8388	2	21
we	Mrs. Bennet	8386	8388	2	21
Lydia	Lydia	8408	8413	2	21
love	Lydia	8418	8422	2	21
you	Lydia	8431	8434	2	21
youngest	Lydia	8443	8451	2	21
I	Mrs. Bennet	8453	8454	2	21
Mr. Bingley	Mr. Bingley	8464	8475	2	21
you	Lydia	8492	8495	2	21
Lydia	Lydia	8527	8532	2	21
I	Lydia	8543	8544	2	21
I	Lydia	8571	8572	2	21
youngest	Lydia	8580	8588	2	21
I	Lydia	8590	8591	2	21
tallest	Lydia	8598	8605	2	21
he	Mr. Bingley	8668	8670	2	21
Mr. Bennet	Mr. Bennet	8684	8694	2	21
they	Mrs. Bennet	8725	8729	2	21
they	Mary	8725	8729	2	21
they	Elizabeth	8725	8729	2	21
they	Jane	8725	8729	2	21
they	Kitty	8725	8729	2	21
they	Mr. Bennet	8725	8729	2	21
they	Lydia	8725	8729	2	21
him	Mr. Bingley	8741	8744	2	21
Mrs. Bennet	Mrs. Bennet	8770	8781	3	0
daughters	Lydia	8824	8833	3	0
daughters	Mary	8824	8833	3	0
daughters	Jane	8824	8833	3	0
daughters	Elizabeth	8824	8833	3	0
daughters	Kitty	8824	8833	3	0
husband	Mr. Bennet	8893	8900	3	0
Mr. Bingley	Mr. Bingley	8933	8944	3	0
They	Mrs. Bennet	8946	8950	3	0
They	Lydia	8946	8950	3	0
They	Mary	8946	8950	3	0
They	Jane	8946	8950	3	0
They	Elizabeth	8946	8950	3	0
They	Kitty	8946	8950	3	0
him	Mr. Bennet	8960	8963	3	0
he	Mr. Bennet	9057	9059	3	0
them	Mrs. Bennet	9080	9084	3	0
them	Lydia	9080	9084	3	0
them	Mary	9080	9084	3	0
them	Jane	9080	9084	3	0
them	Elizabeth	9080	9084	3	0
them	Kitty	9080	9084	3	0
they	Mrs. Bennet	9094	9098	3	0
they	Lydia	9094	9098	3	0
they	Mary	9094	9098	3	0
they	Jane	9094	9098	3	0
they	Elizabeth	9094	9098	3	0
they	Kitty	9094	9098	3	0
neighbour	Lady Lucas	9168	9177	3	0
Lady Lucas	Lady Lucas	9179	9189	3	0
Sir William	Sir William Lucas	9225	9236	3	0
him	Mr. Bingley	9261	9264	3	0
He	Mr. Bingley	9266	9268	3	0
he	Mr. Bingley	9354	9356	3	0
party	???	9403	9408	3	0
Mr. Bingley	Mr. Bingley	9535	9546	3	0
I	Mrs. Bennet	9578	9579	3	0
one	NON-CHARACTER	9592	9595	3	0
daughters	Lydia	9602	9611	3	0
daughters	Mary	9602	9611	3	0
daughters	Jane	9602	9611	3	0
daughters	Elizabeth	9602	9611	3	0
daughters	Kitty	9602	9611	3	0
Mrs. Bennet	Mrs. Bennet	9650	9661	3	0
husband	Mr. Bennet	9669	9676	3	0
others	NON-CHARACTER	9691	9697	3	0
I	Mrs. Bennet	9720	9721	3	0
Mr. Bingley	Mr. Bingley	9770	9781	3	0
Mr. Bennet	Mr. Bennet	9791	9801	3	0
him	Mr. Bennet	9842	9845	3	0
He	Mr. Bingley	9862	9864	3	0
ladies	Lydia	9929	9935	3	0
ladies	Mary	9929	9935	3	0
ladies	Jane	9929	9935	3	0
ladies	Elizabeth	9929	9935	3	0
ladies	Kitty	9929	9935	3	0
he	Mr. Bingley	9953	9955	3	0
he	Mr. Bingley	9976	9978	3	0
father	Mr. Bennet	9992	9998	3	0
ladies	Lydia	10004	10010	3	0
ladies	Mary	10004	10010	3	0
ladies	Jane	10004	10010	3	0
ladies	Elizabeth	10004	10010	3	0
ladies	Kitty	10004	10010	3	0
they	Lydia	10045	10049	3	0
they	Mary	10045	10049	3	0
they	Jane	10045	10049	3	0
they	Elizabeth	10045	10049	3	0
they	Kitty	10045	10049	3	0
he	Mr. Bingley	10110	10112	3	0
Mrs. Bennet	Mrs. Bennet	10228	10239	3	0
Mr. Bingley	Mr. Bingley	10350	10361	3	0
Mrs. Bennet	Mrs. Bennet	10480	10491	3	0
She	Mrs. Bennet	10516	10519	3	0
he	Mr. Bingley	10552	10554	3	0
she	Mrs. Bennet	10622	10625	3	0
he	Mr. Bingley	10645	10647	3	0
he	Mr. Bingley	10740	10742	3	0
Lady Lucas	Lady Lucas	10756	10766	3	0
party	???	10863	10868	3	0
Mr. Bingley	Mr. Bingley	10915	10926	3	0
him	Mr. Bingley	10979	10982	3	0
girls	Lydia	11004	11009	3	0
girls	Mary	11004	11009	3	0
girls	Jane	11004	11009	3	0
girls	Elizabeth	11004	11009	3	0
girls	Kitty	11004	11009	3	0
he	Mr. Bingley	11126	11128	3	0
six	???	11142	11145	3	0
six	OTHER	11142	11145	3	0
him	Mr. Bingley	11151	11154	3	0
sisters	Mrs. Hurst	11177	11184	3	0
sisters	Miss Bingley	11177	11184	3	0
sisters	OTHER	11177	11184	3	0
Mr. Bingley	Mr. Bingley	11282	11293	3	0
sisters	Mrs. Hurst	11303	11310	3	0
sisters	Miss Bingley	11303	11310	3	0
eldest	Mrs. Hurst	11331	11337	3	0
husband	Mr. Hurst	11316	11323	3	0
man	Mr. Darcy	11357	11360	3	0
party	Mr. Bingley	11212	11217	3	0
party	Miss Bingley	11212	11217	3	0
party	Mrs. Hurst	11212	11217	3	0
party	Mr. Hurst	11212	11217	3	0
party	Mr. Darcy	11212	11217	3	0
party	OTHER	9403	9408	3	0
ladies	NON-CHARACTER	10947	10953	3	0
gentlemen	NON-CHARACTER	10964	10973	3	0
ladies	NON-CHARACTER	11040	11046	3	0
cousin	NON-CHARACTER	11191	11197	3	0
party	OTHER	10863	10868	3	0
six	Mrs. Bennet	11142	11145	3	0
six	Mrs. Hurst	11142	11145	3	0
Mr. Bingley	Mr. Bingley	11363	11374	3	4
he	Mr. Bingley	11411	11413	3	4
sisters	Mrs. Hurst	11476	11483	3	4
sisters	Miss Bingley	11476	11483	3	4
women	Mrs. Hurst	11494	11499	3	4
women	Miss Bingley	11494	11499	3	4
brother-in-law	Mr. Hurst	11537	11551	3	4
Mr. Hurst	Mr. Hurst	11553	11562	3	4
gentleman	Mr. Hurst	11582	11591	3	4
Mr. Darcy	Mr. Darcy	11608	11617	3	4
gentlemen	???	11838	11847	3	4
gentlemen	OTHER	11838	11847	3	4
him	Mr. Darcy	11859	11862	3	4
man	Mr. Darcy	11888	11891	3	4
ladies	Mrs. Bennet	11897	11903	3	4
ladies	Elizabeth	11897	11903	3	4
ladies	Jane	11897	11903	3	4
ladies	Kitty	11897	11903	3	4
ladies	Mary	11897	11903	3	4
ladies	Lydia	11897	11903	3	4
ladies	Charlotte Lucas	11897	11903	3	4
ladies	???	11897	11903	3	4
ladies	OTHER	11897	11903	3	4
he	Mr. Darcy	11913	11915	3	4
Mr. Bingley	Mr. Bingley	11940	11951	3	4
he	Mr. Darcy	11957	11959	3	4
he	Mr. Darcy	12101	12103	3	4
him	Mr. Darcy	12241	12244	3	4
friend	Mr. Bingley	12345	12351	3	4
Mr. Bingley	Mr. Bingley	12354	12365	3	4
himself	Mr. Bingley	12380	12387	3	4
people	???	12422	12428	3	4
people	OTHER	12422	12428	3	4
people	Mrs. Bennet	12422	12428	3	4
people	Elizabeth	12422	12428	3	4
people	Jane	12422	12428	3	4
people	Kitty	12422	12428	3	4
people	Mary	12422	12428	3	4
people	Lydia	12422	12428	3	4
people	Charlotte Lucas	12422	12428	3	4
he	Mr. Bingley	12442	12444	3	4
himself	Mr. Bingley	12558	12565	3	4
him	Mr. Bingley	12656	12659	3	4
friend	Mr. Darcy	12668	12674	3	4
Mr. Darcy	Mr. Darcy	12676	12685	3	4
Mrs. Hurst	Mrs. Hurst	12708	12718	3	4
Miss Bingley	Miss Bingley	12733	12745	3	4
lady	NON-CHARACTER	12786	12790	3	4
party	Mr. Bingley	12893	12898	3	4
party	Mrs. Hurst	12893	12898	3	4
party	Miss Bingley	12893	12898	3	4
party	Mr. Hurst	12893	12898	3	4
He	Mr. Darcy	12927	12929	3	4
man	Mr. Darcy	12966	12969	3	4
he	Mr. Darcy	13009	13011	3	4
him	Mr. Darcy	13075	13078	3	4
Mrs. Bennet	Mrs. Bennet	13083	13094	3	4
one	Elizabeth	13199	13202	3	4
daughters	Jane	13210	13219	3	4
daughters	Kitty	13210	13219	3	4
daughters	Mary	13210	13219	3	4
daughters	Lydia	13210	13219	3	4
daughters	Elizabeth	13210	13219	3	4
ladies	Maria Lucas	11897	11903	3	4
ladies	Miss King	11897	11903	3	4
people	Miss King	12422	12428	3	4
people	Maria Lucas	12422	12428	3	4
everybody	???	12988	12997	3	4
everybody	OTHER	12988	12997	3	4
everybody	Mrs. Bennet	12988	12997	3	4
everybody	Elizabeth	12988	12997	3	4
everybody	Jane	12988	12997	3	4
everybody	Lydia	12988	12997	3	4
everybody	Mary	12988	12997	3	4
everybody	Kitty	12988	12997	3	4
everybody	Charlotte Lucas	12988	12997	3	4
everybody	Maria Lucas	12988	12997	3	4
everybody	Miss King	12988	12997	3	4
gentlemen	Mr. Robinson	11838	11847	3	4
ladies	Mrs. Long	11897	11903	3	4
people	Mr. Robinson	12422	12428	3	4
people	Mrs. Long	12422	12428	3	4
everybody	Mr. Robinson	12988	12997	3	4
everybody	Mrs. Long	12988	12997	3	4
one	???	12878	12881	3	4
Elizabeth Bennet	Elizabeth	13222	13238	3	6
gentlemen	NON-CHARACTER	13276	13285	3	6
Mr. Darcy	Mr. Darcy	13345	13354	3	6
her	Elizabeth	13389	13392	3	6
him	Mr. Darcy	13424	13427	3	6
"Mr.
Bingley"	Mr. Bingley	13432	13443	3	6
who	Mr. Bingley	13445	13448	3	6
